Date,percent
8/4/2010,90.69090193
8/5/2010,89.93239317
8/6/2010,88.97230052
8/7/2010,88.26320506
8/8/2010,87.80510676
8/9/2010,87.59800565
8/10/2010,87.64190171
8/11/2010,87.93679494
8/12/2010,88.48268536
8/13/2010,89.27957294
8/14/2010,89.86768107
8/15/2010,90.24700973
8/16/2010,90.41755893
8/17/2010,90.37932866
8/18/2010,90.13231893
8/19/2010,89.67652974
8/20/2010,89.01196108
8/21/2010,88.43261054
8/22/2010,87.9384781
8/23/2010,87.52956378
8/24/2010,87.20586757
8/25/2010,86.96738946
8/26/2010,86.81412948
8/27/2010,86.7460876
8/28/2010,86.73530047
8/29/2010,86.7817681
8/30/2010,86.88549049
8/31/2010,87.04646763
9/1/2010,87.26469953
9/2/2010,87.54018618
9/3/2010,87.87292758
9/4/2010,88.12177501
9/5/2010,88.28672847
9/6/2010,88.36778795
9/7/2010,88.36495346
9/8/2010,88.27822499
9/9/2010,88.10760254
9/10/2010,87.85308612
9/11/2010,87.66237759
9/12/2010,87.53547696
9/13/2010,87.47238422
9/14/2010,87.47309936
9/15/2010,87.53762241
9/16/2010,87.66595334
9/17/2010,87.85809217
9/18/2010,87.97091741
9/19/2010,88.00442908
9/20/2010,87.95862716
9/21/2010,87.83351167
9/22/2010,87.62908259
9/23/2010,87.34533993
9/24/2010,86.98228368
9/25/2010,86.60758807
9/26/2010,86.22125309
9/27/2010,85.82327874
9/28/2010,85.41366502
9/29/2010,84.99241193
9/30/2010,84.55951947
10/1/2010,84.11498763
10/2/2010,83.71028178
10/3/2010,83.34540192
10/4/2010,83.02034803
10/5/2010,82.73512013
10/6/2010,82.48971822
10/7/2010,82.28414228
10/8/2010,82.11839233
10/9/2010,81.98749957
10/10/2010,81.891464
10/11/2010,81.83028562
10/12/2010,81.80396443
10/13/2010,81.81250043
10/14/2010,81.85589362
10/15/2010,81.934144
10/16/2010,82.05378249
10/17/2010,82.21480909
10/18/2010,82.41722379
10/19/2010,82.66102659
10/20/2010,82.94621751
10/21/2010,83.27279653
10/22/2010,83.64076365
10/23/2010,83.87814765
10/24/2010,83.98494852
10/25/2010,83.96116626
10/26/2010,83.80680087
10/27/2010,83.52185235
10/28/2010,83.1063207
10/29/2010,82.56020592
10/30/2010,82.12385844
10/31/2010,81.79727827
11/1/2010,81.5804654
11/2/2010,81.47341983
11/3/2010,81.47614156
11/4/2010,81.58863059
11/5/2010,81.81088692
11/6/2010,82.02343627
11/7/2010,82.22627862
11/8/2010,82.41941398
11/9/2010,82.60284235
11/10/2010,82.77656373
11/11/2010,82.94057812
11/12/2010,83.09488552
11/13/2010,83.30446695
11/14/2010,83.56932242
11/15/2010,83.88945193
11/16/2010,84.26485547
11/17/2010,84.69553305
11/18/2010,85.18148467
11/19/2010,85.72271032
11/20/2010,86.03313757
11/21/2010,86.1127664
11/22/2010,85.96159682
11/23/2010,85.57962883
11/24/2010,84.96686243
11/25/2010,84.12329762
11/26/2010,83.04893439
11/27/2010,82.32134058
11/28/2010,81.94051617
11/29/2010,81.90646118
11/30/2010,82.2191756
12/1/2010,82.87865942
12/2/2010,83.88491266
12/3/2010,85.2379353
12/4/2010,86.36633254
12/5/2010,87.27010438
12/6/2010,87.94925081
12/7/2010,88.40377184
12/8/2010,88.63366746
12/9/2010,88.63893767
12/10/2010,88.41958249
12/11/2010,88.23003768
12/12/2010,88.07030326
12/13/2010,87.94037923
12/14/2010,87.84026558
12/15/2010,87.76996232
12/16/2010,87.72946944
12/17/2010,87.71878694
12/18/2010,87.70976201
12/19/2010,87.70239465
12/20/2010,87.69668486
12/21/2010,87.69263264
12/22/2010,87.69023799
12/23/2010,87.6895009
12/24/2010,87.69042138
12/25/2010,87.70469401
12/26/2010,87.73231879
12/27/2010,87.77329571
12/28/2010,87.82762477
12/29/2010,87.89530599
12/30/2010,87.97633934
12/31/2010,88.07072485
1/1/2011,88.12087518
1/2/2011,88.12679035
1/3/2011,88.08847034
1/4/2011,88.00591516
1/5/2011,87.87912482
1/6/2011,87.7080993
1/7/2011,87.49283862
1/8/2011,87.22169586
1/9/2011,86.89467104
1/10/2011,86.51176414
1/11/2011,86.07297517
1/12/2011,85.57830414
1/13/2011,85.02775103
1/14/2011,84.42131586
1/15/2011,83.86462939
1/16/2011,83.35769163
1/17/2011,82.90050258
1/18/2011,82.49306224
1/19/2011,82.13537061
1/20/2011,81.82742768
1/21/2011,81.56923347
1/22/2011,81.4367079
1/23/2011,81.42985098
1/24/2011,81.5486627
1/25/2011,81.79314308
1/26/2011,82.1632921
1/27/2011,82.65910978
1/28/2011,83.2805961
1/29/2011,83.82145054
1/30/2011,84.28167309
1/31/2011,84.66126377
2/1/2011,84.96022256
2/2/2011,85.17854946
2/3/2011,85.31624449
2/4/2011,85.37330763
2/5/2011,85.32480864
2/6/2011,85.17074752
2/7/2011,84.91112426
2/8/2011,84.54593888
2/9/2011,84.07519136
2/10/2011,83.49888171
2/11/2011,82.81700992
2/12/2011,82.18871382
2/13/2011,81.61399339
2/14/2011,81.09284864
2/15/2011,80.62527957
2/16/2011,80.21128618
2/17/2011,79.85086847
2/18/2011,79.54402644
2/19/2011,79.33424687
2/20/2011,79.22152975
2/21/2011,79.20587509
2/22/2011,79.28728288
