time,value
8/7/2010,168790.7428
8/8/2010,168778.0332
8/9/2010,168765.3236
8/10/2010,168752.614
8/11/2010,168739.9044
8/12/2010,168727.1948
8/13/2010,168714.4852
8/14/2010,168701.7755
8/15/2010,168689.0659
8/16/2010,168676.3562
8/17/2010,168663.6465
8/18/2010,168650.9368
8/19/2010,168638.2271
8/20/2010,168625.5174
8/21/2010,168612.8077
8/22/2010,168600.098
8/23/2010,168587.3882
8/24/2010,168574.6785
8/25/2010,168561.9687
8/26/2010,168549.2589
8/27/2010,168536.5491
8/28/2010,168523.8393
8/29/2010,168511.1295
8/30/2010,168498.4197
8/31/2010,168485.7098
9/1/2010,168473
9/2/2010,168675.4668
9/3/2010,168877.9336
9/4/2010,169080.4004
9/5/2010,169282.8672
9/6/2010,169485.334
9/7/2010,169687.8008
9/8/2010,169890.2676
9/9/2010,170092.7343
9/10/2010,170295.201
9/11/2010,170497.6678
9/12/2010,170700.1345
9/13/2010,170902.6012
9/14/2010,171105.0679
9/15/2010,171307.5346
9/16/2010,171510.0012
9/17/2010,171712.4679
9/18/2010,171914.9345
9/19/2010,172117.4012
9/20/2010,172319.8678
9/21/2010,172522.3344
9/22/2010,172724.801
9/23/2010,172927.2676
9/24/2010,173129.7342
9/25/2010,173332.2008
9/26/2010,173534.6674
9/27/2010,173737.1339
9/28/2010,173939.6004
9/29/2010,174142.067
9/30/2010,174344.5335
10/1/2010,174547
10/2/2010,174312.3227
10/3/2010,174077.6455
10/4/2010,173842.9682
10/5/2010,173608.2909
10/6/2010,173373.6136
10/7/2010,173138.9363
10/8/2010,172904.259
10/9/2010,172669.5817
10/10/2010,172434.9043
10/11/2010,172200.227
10/12/2010,171965.5496
10/13/2010,171730.8722
10/14/2010,171496.1948
10/15/2010,171261.5174
10/16/2010,171026.84
10/17/2010,170792.1626
10/18/2010,170557.4852
10/19/2010,170322.8077
10/20/2010,170088.1303
10/21/2010,169853.4528
10/22/2010,169618.7754
10/23/2010,169384.0979
10/24/2010,169149.4204
10/25/2010,168914.7429
10/26/2010,168680.0654
10/27/2010,168445.3878
10/28/2010,168210.7103
10/29/2010,167976.0327
10/30/2010,167741.3552
10/31/2010,167506.6776
11/1/2010,167272
11/2/2010,167490.6335
11/3/2010,167709.267
11/4/2010,167927.9005
11/5/2010,168146.5339
11/6/2010,168365.1674
11/7/2010,168583.8008
11/8/2010,168802.4342
11/9/2010,169021.0676
11/10/2010,169239.7011
11/11/2010,169458.3344
11/12/2010,169676.9678
11/13/2010,169895.6012
11/14/2010,170114.2346
11/15/2010,170332.8679
11/16/2010,170551.5012
11/17/2010,170770.1346
11/18/2010,170988.7679
11/19/2010,171207.4012
11/20/2010,171426.0345
11/21/2010,171644.6678
11/22/2010,171863.301
11/23/2010,172081.9343
11/24/2010,172300.5676
11/25/2010,172519.2008
11/26/2010,172737.834
11/27/2010,172956.4672
11/28/2010,173175.1004
11/29/2010,173393.7336
11/30/2010,173612.3668
12/1/2010,173831
12/2/2010,173720.0969
12/3/2010,173609.1939
12/4/2010,173498.2908
12/5/2010,173387.3877
12/6/2010,173276.4846
12/7/2010,173165.5815
12/8/2010,173054.6783
12/9/2010,172943.7752
12/10/2010,172832.872
12/11/2010,172721.9689
12/12/2010,172611.0657
12/13/2010,172500.1625
12/14/2010,172389.2593
12/15/2010,172278.3561
12/16/2010,172167.4529
12/17/2010,172056.5497
12/18/2010,171945.6465
12/19/2010,171834.7432
12/20/2010,171723.84
12/21/2010,171612.9367
12/22/2010,171502.0334
12/23/2010,171391.1301
12/24/2010,171280.2268
12/25/2010,171169.3235
12/26/2010,171058.4202
12/27/2010,170947.5168
12/28/2010,170836.6135
12/29/2010,170725.7101
12/30/2010,170614.8068
12/31/2010,170503.9034
1/1/2011,170393
1/2/2011,169778.8389
1/3/2011,169164.6778
1/4/2011,168550.5166
1/5/2011,167936.3555
1/6/2011,167322.1943
1/7/2011,166708.0331
1/8/2011,166093.872
1/9/2011,165479.7108
1/10/2011,164865.5496
1/11/2011,164251.3884
1/12/2011,163637.2271
1/13/2011,163023.0659
1/14/2011,162408.9046
1/15/2011,161794.7434
1/16/2011,161180.5821
1/17/2011,160566.4208
1/18/2011,159952.2595
1/19/2011,159338.0982
1/20/2011,158723.9369
