Date,TCU
8/5/2010,74.48778064
8/6/2010,74.4970258
8/7/2010,74.50627096
8/8/2010,74.51551612
8/9/2010,74.52476128
8/10/2010,74.53400644
8/11/2010,74.5432516
8/12/2010,74.55249676
8/13/2010,74.56174192
8/14/2010,74.57098708
8/15/2010,74.58023224
8/16/2010,74.58947741
8/17/2010,74.59872257
8/18/2010,74.60796773
8/19/2010,74.61721289
8/20/2010,74.62645805
8/21/2010,74.63570321
8/22/2010,74.64494837
8/23/2010,74.65419354
8/24/2010,74.6634387
8/25/2010,74.67268386
8/26/2010,74.68192902
8/27/2010,74.69117419
8/28/2010,74.70041935
8/29/2010,74.70966451
8/30/2010,74.71890967
8/31/2010,74.72815484
9/1/2010,74.7374
9/2/2010,74.7349
9/3/2010,74.7324
9/4/2010,74.72989999
9/5/2010,74.72739999
9/6/2010,74.72489999
9/7/2010,74.72239999
9/8/2010,74.71989999
9/9/2010,74.71739999
9/10/2010,74.71489999
9/11/2010,74.71239999
9/12/2010,74.70989999
9/13/2010,74.70739999
9/14/2010,74.70489999
9/15/2010,74.70239999
9/16/2010,74.69989999
9/17/2010,74.69739999
9/18/2010,74.69489999
9/19/2010,74.69239999
9/20/2010,74.68989999
9/21/2010,74.68739999
9/22/2010,74.68489999
9/23/2010,74.68239999
9/24/2010,74.67989999
9/25/2010,74.67739999
9/26/2010,74.67489999
9/27/2010,74.67239999
9/28/2010,74.66989999
9/29/2010,74.6674
9/30/2010,74.6649
10/1/2010,74.6624
10/2/2010,74.66600968
10/3/2010,74.66961935
10/4/2010,74.67322903
10/5/2010,74.6768387
10/6/2010,74.68044838
10/7/2010,74.68405806
10/8/2010,74.68766773
10/9/2010,74.69127741
10/10/2010,74.69488708
10/11/2010,74.69849676
10/12/2010,74.70210644
10/13/2010,74.70571611
10/14/2010,74.70932579
10/15/2010,74.71293547
10/16/2010,74.71654515
10/17/2010,74.72015482
10/18/2010,74.7237645
10/19/2010,74.72737418
10/20/2010,74.73098386
10/21/2010,74.73459353
10/22/2010,74.73820321
10/23/2010,74.74181289
10/24/2010,74.74542257
10/25/2010,74.74903225
10/26/2010,74.75264193
10/27/2010,74.7562516
10/28/2010,74.75986128
10/29/2010,74.76347096
10/30/2010,74.76708064
10/31/2010,74.77069032
11/1/2010,74.7743
11/2/2010,74.80034333
11/3/2010,74.82638666
11/4/2010,74.85242999
11/5/2010,74.87847332
11/6/2010,74.90451666
11/7/2010,74.93055999
11/8/2010,74.95660332
11/9/2010,74.98264665
11/10/2010,75.00868998
11/11/2010,75.03473332
11/12/2010,75.06077665
11/13/2010,75.08681998
11/14/2010,75.11286331
11/15/2010,75.13890665
11/16/2010,75.16494998
11/17/2010,75.19099331
11/18/2010,75.21703665
11/19/2010,75.24307998
11/20/2010,75.26912331
11/21/2010,75.29516665
11/22/2010,75.32120998
11/23/2010,75.34725332
11/24/2010,75.37329665
11/25/2010,75.39933999
11/26/2010,75.42538332
11/27/2010,75.45142666
11/28/2010,75.47746999
11/29/2010,75.50351333
11/30/2010,75.52955666
12/1/2010,75.5556
12/2/2010,75.55239032
12/3/2010,75.54918064
12/4/2010,75.54597096
12/5/2010,75.54276128
12/6/2010,75.5395516
12/7/2010,75.53634192
12/8/2010,75.53313224
12/9/2010,75.52992256
