"","time","value"
"1",2010-01-01,8458.09999999957
"2",2010-01-02,8459.69032776074
"3",2010-01-03,8461.28065517491
"4",2010-01-04,8462.87098223697
"5",2010-01-05,8464.46130895789
"6",2010-01-06,8466.0516353351
"7",2010-01-07,8467.64196136145
"8",2010-01-08,8469.23228703487
"9",2010-01-09,8470.82261236814
"10",2010-01-10,8472.41293736073
"11",2010-01-11,8474.00326200939
"12",2010-01-12,8475.59358631371
"13",2010-01-13,8477.18391026023
"14",2010-01-14,8478.77423386362
"15",2010-01-15,8480.3645571264
"16",2010-01-16,8481.95488004374
"17",2010-01-17,8483.54520262017
"18",2010-01-18,8485.13552484946
"19",2010-01-19,8486.72584673378
"20",2010-01-20,8488.31616827842
"21",2010-01-21,8489.90648947318
"22",2010-01-22,8491.49681032441
"23",2010-01-23,8493.08713084017
"24",2010-01-24,8494.67745100923
"25",2010-01-25,8496.26777082979
"26",2010-01-26,8497.8580903141
"27",2010-01-27,8499.44840945083
"28",2010-01-28,8501.03872825402
"29",2010-01-29,8502.62904670152
"30",2010-01-30,8504.21936480803
"31",2010-01-31,8505.80968258238
"32",2010-02-01,8507.40000000787
"33",2010-02-02,8507.29643318738
"34",2010-02-03,8507.19286604107
"35",2010-02-04,8507.0892985407
"36",2010-02-05,8506.98573070443
"37",2010-02-06,8506.88216252416
"38",2010-02-07,8506.77859400213
"39",2010-02-08,8506.67502514627
"40",2010-02-09,8506.57145593934
"41",2010-02-10,8506.46788639045
"42",2010-02-11,8506.36431650378
"43",2010-02-12,8506.26074627563
"44",2010-02-13,8506.15717569608
"45",2010-02-14,8506.05360478699
"46",2010-02-15,8505.95003353152
"47",2010-02-16,8505.84646193069
"48",2010-02-17,8505.74288999112
"49",2010-02-18,8505.63931769878
"50",2010-02-19,8505.53574508386
"51",2010-02-20,8505.43217211249
"52",2010-02-21,8505.32859879905
"53",2010-02-22,8505.22502515239
"54",2010-02-23,8505.12145115819
"55",2010-02-24,8505.01787681705
"56",2010-02-25,8504.91430214135
"57",2010-02-26,8504.8107271159
"58",2010-02-27,8504.70715175808
"59",2010-02-28,8504.60357604157
"60",2010-03-01,8504.50000000278
"61",2010-03-02,8505.49032769784
"62",2010-03-03,8506.48065505984
"63",2010-03-04,8507.47098207064
"64",2010-03-05,8508.46130874607
"65",2010-03-06,8509.45163507155
"66",2010-03-07,8510.44196106369
"67",2010-03-08,8511.43228671442
"68",2010-03-09,8512.42261201764
"69",2010-03-10,8513.41293698808
"70",2010-03-11,8514.4032616074
"71",2010-03-12,8515.39358588262
"72",2010-03-13,8516.38390983348
"73",2010-03-14,8517.37423342358
"74",2010-03-15,8518.36455668404
"75",2010-03-16,8519.3548795987
"76",2010-03-17,8520.34520217899
"77",2010-03-18,8521.33552441952
"78",2010-03-19,8522.32584631154
"79",2010-03-20,8523.3161678664
"80",2010-03-21,8524.30648908764
"81",2010-03-22,8525.29680995563
"82",2010-03-23,8526.28713048736
"83",2010-03-24,8527.27745068432
"84",2010-03-25,8528.26777053454
"85",2010-03-26,8529.25809004789
"86",2010-03-27,8530.24840922034
"87",2010-03-28,8531.23872805639
"88",2010-03-29,8532.22904655485
"89",2010-03-30,8533.21936471225
"90",2010-03-31,8534.20968253233
"91",2010-04-01,8535.20000000212
"92",2010-04-02,8537.0233382236
"93",2010-04-03,8538.84667610997
"94",2010-04-04,8540.67001366051
"95",2010-04-05,8542.49335087368
"96",2010-04-06,8544.3166877369
"97",2010-04-07,8546.1400242724
"98",2010-04-08,8547.96336046174
"99",2010-04-09,8549.78669632139
"100",2010-04-10,8551.6100318445
"101",2010-04-11,8553.43336701081
"102",2010-04-12,8555.25670186132
"103",2010-04-13,8557.08003636327
"104",2010-04-14,8558.90337053193
"105",2010-04-15,8560.72670436096
"106",2010-04-16,8562.55003785262
"107",2010-04-17,8564.37337100705
"108",2010-04-18,8566.19670383758
"109",2010-04-19,8568.02003632091
"110",2010-04-20,8569.84336847294
"111",2010-04-21,8571.66670029518
"112",2010-04-22,8573.49003176702
"113",2010-04-23,8575.31336291167
"114",2010-04-24,8577.13669372108
"115",2010-04-25,8578.96002418799
"116",2010-04-26,8580.78335432853
"117",2010-04-27,8582.60668413459
"118",2010-04-28,8584.43001359654
"119",2010-04-29,8586.25334274261
"120",2010-04-30,8588.07667153458
"121",2010-05-01,8589.90000000188
"122",2010-05-02,8590.51613403371
"123",2010-05-03,8591.13226772627
"124",2010-05-04,8591.74840108667
"125",2010-05-05,8592.36453411635
"126",2010-05-06,8592.98066680227
"127",2010-05-07,8593.59679916154
"128",2010-05-08,8594.21293119316
"129",2010-05-09,8594.8290628945
"130",2010-05-10,8595.4451942525
"131",2010-05-11,8596.0613252813
"132",2010-05-12,8596.6774559691
"133",2010-05-13,8597.29358633729
"134",2010-05-14,8597.90971636534
"135",2010-05-15,8598.52584606192
"136",2010-05-16,8599.14197542268
"137",2010-05-17,8599.75810444848
"138",2010-05-18,8600.37423314792
"139",2010-05-19,8600.99036151725
"140",2010-05-20,8601.6064895399
"141",2010-05-21,8602.22261724547
"142",2010-05-22,8602.83874460238
"143",2010-05-23,8603.45487163956
"144",2010-05-24,8604.07099834567
"145",2010-05-25,8604.68712471354
"146",2010-05-26,8605.30325075518
"147",2010-05-27,8605.91937645969
"148",2010-05-28,8606.53550182746
"149",2010-05-29,8607.15162687527
"150",2010-05-30,8607.76775157478
"151",2010-05-31,8608.38387595477
"152",2010-06-01,8608.99999999958
"153",2010-06-02,8609.32667147556
"154",2010-06-03,8609.65334261813
