Date,%
17-Apr-15,91.2
24-Apr-15,91.3
1-May-15,93
8-May-15,91.2
15-May-15,92.4
22-May-15,93.6
29-May-15,93.2
5-Jun-15,94.6
12-Jun-15,93.1
19-Jun-15,94
26-Jun-15,95
3-Jul-15,94.7
10-Jul-15,95.3
17-Jul-15,95.5
24-Jul-15,95.1
31-Jul-15,96.1
7-Aug-15,96.1
14-Aug-15,95.1
21-Aug-15,94.5
28-Aug-15,92.8
4-Sep-15,90.9
11-Sep-15,93.1
18-Sep-15,90.9
25-Sep-15,89.8
2-Oct-15,87.5
9-Oct-15,86
16-Oct-15,86.4
23-Oct-15,87.6
30-Oct-15,88.7
6-Nov-15,89.5
13-Nov-15,90.3
20-Nov-15,92
27-Nov-15,94.5
4-Dec-15,93.1
11-Dec-15,91.9
18-Dec-15,91.3
25-Dec-15,92.6
1-Jan-16,92.5
8-Jan-16,91.2
15-Jan-16,90.6
22-Jan-16,87.4
29-Jan-16,86.6
5-Feb-16,86.1
12-Feb-16,88.3
19-Feb-16,87.3
26-Feb-16,88.3
4-Mar-16,89.1
11-Mar-16,89
18-Mar-16,88.4
25-Mar-16,90.4
1-Apr-16,91.4
8-Apr-16,89.2
15-Apr-16,89.4
22-Apr-16,88.1
29-Apr-16,89.7
6-May-16,89.1
13-May-16,90.5
20-May-16,89.7
27-May-16,89.8
3-Jun-16,90.9
10-Jun-16,90.2
17-Jun-16,91.3
24-Jun-16,93
1-Jul-16,92.5
8-Jul-16,92.3
15-Jul-16,93.2
22-Jul-16,92.4
29-Jul-16,93.3
5-Aug-16,92.2
12-Aug-16,93.5
19-Aug-16,92.5
26-Aug-16,92.8
2-Sep-16,93.7
9-Sep-16,92.9
16-Sep-16,92
23-Sep-16,90.1
30-Sep-16,88.3
7-Oct-16,85.5
14-Oct-16,85
21-Oct-16,85.6
28-Oct-16,85.2
4-Nov-16,87.1
11-Nov-16,89.2
18-Nov-16,90.8
25-Nov-16,89.8
2-Dec-16,90.4
9-Dec-16,90.5
16-Dec-16,91.5
23-Dec-16,91
30-Dec-16,92
6-Jan-17,93.6
13-Jan-17,90.7
20-Jan-17,88.3
27-Jan-17,88.2
3-Feb-17,87.7
10-Feb-17,85.4
17-Feb-17,84.3
24-Feb-17,86
3-Mar-17,85.9
10-Mar-17,85.1
17-Mar-17,87.4
24-Mar-17,89.3
31-Mar-17,90.8
7-Apr-17,91
14-Apr-17,92.9
21-Apr-17,94.1
28-Apr-17,93.3
5-May-17,91.5
12-May-17,93.4
19-May-17,93.5
26-May-17,95
2-Jun-17,94.1
9-Jun-17,94.4
16-Jun-17,94
23-Jun-17,92.5
30-Jun-17,93.6
7-Jul-17,94.5
14-Jul-17,94
21-Jul-17,94.3
28-Jul-17,95.4
4-Aug-17,96.3
11-Aug-17,96.1
18-Aug-17,95.4
25-Aug-17,96.6
1-Sep-17,79.7
8-Sep-17,77.7
15-Sep-17,83.2
22-Sep-17,88.6
29-Sep-17,88.1
6-Oct-17,89.2
13-Oct-17,84.5
20-Oct-17,87.8
27-Oct-17,88.1
3-Nov-17,89.6
10-Nov-17,91
17-Nov-17,91.3
24-Nov-17,92.6
1-Dec-17,93.8
8-Dec-17,93.4
15-Dec-17,94.1
22-Dec-17,95.7
29-Dec-17,96.7
5-Jan-18,95.3
12-Jan-18,93
19-Jan-18,90.9
26-Jan-18,88.1
2-Feb-18,92.5
9-Feb-18,89.8
16-Feb-18,88.1
23-Feb-18,87.8
2-Mar-18,88
9-Mar-18,90
16-Mar-18,91.7
23-Mar-18,92.3
30-Mar-18,93
6-Apr-18,93.5
13-Apr-18,92.4
20-Apr-18,90.8
27-Apr-18,91.1
4-May-18,90.4
11-May-18,91.1
18-May-18,91.8
25-May-18,93.9
1-Jun-18,95.4
8-Jun-18,95.7
