Date,XOI
3/1/2019,"1,306.23"
2/28/2019,"1,289.15"
2/27/2019,"1,304.56"
2/26/2019,"1,301.42"
2/25/2019,"1,301.95"
2/22/2019,"1,304.56"
2/21/2019,"1,300.76"
2/20/2019,"1,318.57"
2/19/2019,"1,311.56"
2/15/2019,"1,305.60"
2/14/2019,"1,285.65"
2/13/2019,"1,282.68"
2/12/2019,"1,269.66"
2/11/2019,"1,256.66"
2/8/2019,"1,256.53"
2/7/2019,"1,260.32"
2/6/2019,"1,291.90"
2/5/2019,"1,303.51"
2/4/2019,"1,300.87"
2/1/2019,"1,294.87"
1/31/2019,"1,284.01"
1/30/2019,"1,268.68"
1/29/2019,"1,251.25"
1/28/2019,"1,244.01"
1/25/2019,"1,258.51"
1/24/2019,"1,239.57"
1/23/2019,"1,236.67"
1/22/2019,"1,247.71"
1/18/2019,"1,279.05"
1/17/2019,"1,258.50"
1/16/2019,"1,246.62"
1/15/2019,"1,249.82"
1/14/2019,"1,246.41"
1/11/2019,"1,248.80"
1/10/2019,"1,259.48"
1/9/2019,"1,254.82"
1/8/2019,"1,232.03"
1/7/2019,"1,225.67"
1/4/2019,"1,214.78"
1/3/2019,"1,170.92"
1/2/2019,"1,181.08"
12/31/2018,"1,159.10"
12/28/2018,"1,151.55"
12/27/2018,"1,161.82"
12/26/2018,"1,154.28"
12/24/2018,"1,084.70"
12/21/2018,"1,132.02"
12/20/2018,"1,144.45"
12/19/2018,"1,173.86"
12/18/2018,"1,186.72"
12/17/2018,"1,214.51"
12/14/2018,"1,236.05"
12/13/2018,"1,264.82"
12/12/2018,"1,260.07"
12/11/2018,"1,250.79"
12/10/2018,"1,250.38"
12/7/2018,"1,271.63"
12/6/2018,"1,281.25"
12/4/2018,"1,302.70"
12/3/2018,"1,335.56"
11/30/2018,"1,303.05"
11/29/2018,"1,307.65"
11/28/2018,"1,300.97"
11/27/2018,"1,278.90"
11/26/2018,"1,284.67"
11/23/2018,"1,262.82"
11/21/2018,"1,311.35"
11/20/2018,"1,282.94"
11/19/2018,"1,327.10"
11/16/2018,"1,340.41"
11/15/2018,"1,327.70"
11/14/2018,"1,306.18"
11/13/2018,"1,302.53"
11/12/2018,"1,337.01"
11/9/2018,"1,365.18"
11/8/2018,"1,367.61"
11/7/2018,"1,407.00"
11/6/2018,"1,381.83"
11/5/2018,"1,376.73"
11/2/2018,"1,349.67"
11/1/2018,"1,367.18"
10/31/2018,"1,359.62"
10/30/2018,"1,355.14"
10/29/2018,"1,323.05"
10/26/2018,"1,349.23"
10/25/2018,"1,356.81"
10/24/2018,"1,335.43"
10/23/2018,"1,392.19"
10/22/2018,"1,433.80"
10/19/2018,"1,442.16"
10/18/2018,"1,466.05"
10/17/2018,"1,479.36"
10/16/2018,"1,495.75"
10/15/2018,"1,479.34"
10/12/2018,"1,494.84"
10/11/2018,"1,483.95"
10/10/2018,"1,528.26"
10/9/2018,"1,588.66"
10/8/2018,"1,573.89"
10/5/2018,"1,581.65"
10/4/2018,"1,584.24"
10/3/2018,"1,600.12"
10/2/2018,"1,579.43"
10/1/2018,"1,583.74"
9/28/2018,"1,555.81"
9/27/2018,"1,560.92"
9/26/2018,"1,557.38"
9/25/2018,"1,565.60"
9/24/2018,"1,551.48"
9/21/2018,"1,522.43"
9/20/2018,"1,510.51"
9/19/2018,"1,509.86"
9/18/2018,"1,517.41"
9/17/2018,"1,500.07"
9/14/2018,"1,497.58"
