Date,MSCI
12/14/2010,37.02
12/15/2010,36.799999
12/16/2010,37.07
12/17/2010,37.630001
12/20/2010,37.439999
12/21/2010,38.529999
12/22/2010,39.93
12/23/2010,40
12/27/2010,40.02
12/28/2010,39.529999
12/29/2010,39.790001
12/30/2010,39.41
12/31/2010,38.959999
1/3/2011,39.450001
1/4/2011,38.799999
1/5/2011,39.32
1/6/2011,39.02
1/7/2011,38.759998
1/10/2011,38.639999
1/11/2011,39.07
1/12/2011,39.720001
1/13/2011,36.75
1/14/2011,36.419998
1/18/2011,36.290001
1/19/2011,35.240002
1/20/2011,35.119999
1/21/2011,35.5
1/24/2011,35.5
1/25/2011,35.150002
1/26/2011,34.900002
1/27/2011,34.830002
1/28/2011,34
1/31/2011,34.23
2/1/2011,34.639999
2/2/2011,34.669998
2/3/2011,34.110001
2/4/2011,34.799999
2/7/2011,36.09
2/8/2011,35.799999
2/9/2011,35.950001
2/10/2011,36
2/11/2011,36.110001
2/14/2011,36.27
2/15/2011,36.009998
2/16/2011,36.220001
2/17/2011,36.389999
2/18/2011,36.93
2/22/2011,36.389999
2/23/2011,35.959999
2/24/2011,36
2/25/2011,36.099998
2/28/2011,35.5
3/1/2011,34.790001
3/2/2011,35.009998
3/3/2011,35.73
3/4/2011,35.25
3/7/2011,34.959999
3/8/2011,35.459999
3/9/2011,35.5
3/10/2011,34.59
3/11/2011,35.25
3/14/2011,35.040001
3/15/2011,34.240002
3/16/2011,33.91
3/17/2011,34.32
3/18/2011,35.060001
3/21/2011,35.75
3/22/2011,35.540001
3/23/2011,35.650002
3/24/2011,36.009998
3/25/2011,36.560001
3/28/2011,36.459999
3/29/2011,36.700001
3/30/2011,36.27
3/31/2011,36.82
4/1/2011,38.18
4/4/2011,38.220001
4/5/2011,37.459999
4/6/2011,37.59
4/7/2011,37.419998
4/8/2011,36.639999
4/11/2011,36.439999
4/12/2011,36.169998
4/13/2011,35.73
4/14/2011,34.950001
4/15/2011,34.830002
4/18/2011,33.860001
4/19/2011,34.009998
4/20/2011,33.950001
4/21/2011,34.060001
4/25/2011,34.259998
4/26/2011,34.599998
4/27/2011,35.259998
4/28/2011,35.43
4/29/2011,35.470001
5/2/2011,35.360001
5/3/2011,34.970001
5/4/2011,35.77
5/5/2011,36.610001
5/6/2011,37.419998
5/9/2011,37.630001
5/10/2011,38
5/11/2011,37.799999
5/12/2011,37.950001
5/13/2011,37
5/16/2011,36.689999
5/17/2011,36.279999
5/18/2011,37.110001
5/19/2011,36.790001
5/20/2011,36.560001
5/23/2011,36.279999
5/24/2011,36.34
5/25/2011,36.610001
5/26/2011,36.849998
5/27/2011,37.040001
5/31/2011,37.77
6/1/2011,37.049999
6/2/2011,37.240002
6/3/2011,36.529999
6/6/2011,36.150002
6/7/2011,36.650002
6/8/2011,36.369999
6/9/2011,36.959999
6/10/2011,37.029999
6/13/2011,37.360001
6/14/2011,37.77
6/15/2011,37.619999
6/16/2011,37.919998
6/17/2011,37.299999
6/20/2011,37.459999
6/21/2011,38.189999
6/22/2011,37.810001
6/23/2011,37.34
6/24/2011,36.880001
6/27/2011,37.580002
6/28/2011,37.919998
6/29/2011,37.900002
6/30/2011,37.68
7/1/2011,37.91
7/5/2011,38.009998
7/6/2011,38.599998
7/7/2011,38.75
7/8/2011,38.889999
7/11/2011,37.709999
7/12/2011,37.75
7/13/2011,37.889999
7/14/2011,37.150002
7/15/2011,37.169998
7/18/2011,36.5
7/19/2011,37.400002
7/20/2011,37.5
7/21/2011,38.18
7/22/2011,37.93
7/25/2011,37.73
7/26/2011,37.119999
7/27/2011,35.450001
7/28/2011,35.900002
7/29/2011,35.490002
8/1/2011,35.790001
8/2/2011,34.41
8/3/2011,34.919998
8/4/2011,33.959999
8/5/2011,32.970001
8/8/2011,30.360001
8/9/2011,33.689999
8/10/2011,32.310001
8/11/2011,33.689999
8/12/2011,33.630001
8/15/2011,35.130001
8/16/2011,34.630001
8/17/2011,34.049999
8/18/2011,32.23
8/19/2011,31.33
8/22/2011,31.43
8/23/2011,33.139999
8/24/2011,32.849998
8/25/2011,32.66
8/26/2011,33.580002
8/29/2011,35.240002
8/30/2011,34.459999
8/31/2011,34.57
9/1/2011,33.84
9/2/2011,32.490002
9/6/2011,31.67
9/7/2011,33.41
9/8/2011,32.439999
